批次,楼栋,任务,开始,完成,状态,类型,工期
第一批,1#10#,拆架,2026-03-01,2026-03-03,已完成,总包,3
第一批,1#10#,顶板防水,2026-03-01,2026-03-03,已完成,总包,3
第一批,1#10#,防水保护层,2026-03-01,2026-03-03,已完成,总包,3
第一批,1#10#,滤水层,2026-03-04,2026-03-10,进行中,总包,7
第一批,1#10#,回填土,2026-03-11,2026-03-15,待开始,分包,5
第一批,1#10#,雨污水及燃气,2026-03-16,2026-03-26,待开始,分包,11
第一批,1#10#,围墙铺装门头,2026-03-27,2026-04-20,待开始,分包,25
第一批,1#10#,绿化种植,2026-04-21,2026-05-10,待开始,分包,20
第二批,29#-34#,拆架,2026-03-04,2026-04-21,进行中,总包,49
第二批,30#-32#,砌筑抹灰,2026-03-04,2026-03-24,进行中,总包,21
第二批,30#-32#,外保温涂料,2026-03-25,2026-04-14,待开始,总包,21
第二批,30#-32#,外架拆除,2026-04-15,2026-04-21,待开始,总包,7
第二批,29#-34#,顶板防水,2026-04-22,2026-05-01,待开始,总包,10
第二批,29#-34#,回填土,2026-05-01,2026-05-12,待开始,分包,12
第二批,29#-34#,雨污水燃气,2026-05-10,2026-06-10,待开始,分包,32
第二批,29#-34#,围墙铺装,2026-06-11,2026-07-31,待开始,分包,51
第二批,29#-34#,绿化,2026-10-01,2026-10-15,待开始,分包,15
第三批,2#,砌筑抹灰,2026-03-04,2026-03-24,待开始,总包,21
第三批,2#,外保温涂料,2026-03-25,2026-04-14,待开始,总包,21
第三批,2#,外架拆除,2026-04-15,2026-04-22,待开始,总包,8
第三批,5#6#,主体封顶,2026-03-04,2026-04-04,待开始,总包,32
第三批,5#6#7#,砌筑抹灰,2026-04-05,2026-04-24,待开始,总包,20
第三批,5#6#7#,外保温涂料,2026-04-25,2026-05-14,待开始,总包,20
第三批,5#6#7#,外架拆除,2026-05-15,2026-05-22,待开始,总包,8
第三批,2#5#6#7#,顶板防水,2026-05-23,2026-06-03,待开始,总包,12
第三批,2#5#6#7#,回填土,2026-06-13,2026-06-20,待开始,分包,8
第三批,2#5#6#7#,雨污水燃气,2026-06-21,2026-07-21,待开始,分包,31
第三批,2#5#6#7#,围墙铺装,2026-07-22,2026-08-31,待开始,分包,41
第三批,2#5#6#7#,绿化,2026-10-01,2026-10-15,待开始,分包,15
第四批,9#28#,⚠️ 基础开挖,2026-02-20,2026-03-03,⚠️ 紧急,总包,12
第四批,9#28#,主体封顶,2026-03-04,2026-04-24,待开始,总包,52
第四批,9#28#,砌筑抹灰,2026-04-25,2026-05-14,待开始,总包,20
第四批,9#28#,外保温涂料,2026-05-15,2026-05-31,待开始,总包,17
第四批,9#28#,外架拆除,2026-06-01,2026-06-07,待开始,总包,7
第四批,9#28#,顶板防水,2026-06-08,2026-06-15,待开始,总包,8
第四批,9#28#,回填土,2026-06-24,2026-06-30,待开始,分包,7
第四批,9#28#,围墙铺装,2026-07-21,2026-08-21,待开始,分包,32
第四批,9#28#,绿化,2026-10-01,2026-10-15,待开始,分包,15
第五批,11#16#,主体封顶,2026-04-24,2026-06-14,待开始,总包,52
第五批,11#16#,砌筑抹灰,2026-06-15,2026-07-05,待开始,总包,21
第五批,11#16#,外保温涂料,2026-07-06,2026-07-31,待开始,总包,26
第五批,11#16#,外架拆除,2026-08-01,2026-08-07,待开始,总包,7
第五批,11#16#,顶板防水,2026-08-08,2026-08-15,待开始,总包,8
第五批,11#16#,回填土,2026-09-01,2026-09-05,待开始,分包,5
第五批,11#16#,围墙铺装,2026-09-15,2026-10-05,待开始,分包,21
第五批,11#16#,绿化,2026-10-01,2026-10-15,待开始,分包,15
地下室,全部,砌筑抹灰,2026-05-01,2026-08-01,待开始,总包,93
地下室,全部,水电消防,2026-07-01,2026-08-31,待开始,总包,62
地下室,全部,透水砼,2026-08-25,2026-08-31,待开始,总包,7
地下室,全部,车位划线,2026-09-01,2026-09-10,待开始,总包,10
配套,全部,强电安装,2026-07-01,2026-08-31,待开始,分包,62
配套,全部,自来水,2026-07-01,2026-08-31,待开始,分包,62
配套,全部,室外道路铺装,2026-04-01,2026-10-05,待开始,分包,188
配套,全部,景观绿化,2026-04-01,2026-10-15,待开始,分包,198
验收,全部,消防验收,2026-10-08,2026-10-20,待开始,验收,13
验收,全部,竣工验收,2026-10-21,2026-10-31,待开始,验收,11
